date,campaign,spend,impressions,clicks,conversions
2021-01-01,tet_promotion,766.03,40533,1507,97
2021-01-02,tet_promotion,877.01,38207,1182,94
2021-01-03,tet_promotion,930.28,49761,1439,148
2021-01-04,tet_promotion,997.49,49412,1751,134
2021-01-05,tet_promotion,795.86,43825,1122,94
2021-01-06,tet_promotion,625.46,29886,887,47
2021-01-07,tet_promotion,567.76,31180,1097,104
2021-01-08,tet_promotion,708.68,40846,1626,163
2021-01-09,tet_promotion,580.63,25173,855,86
2021-01-10,tet_promotion,769.95,45528,1512,130
2021-01-11,tet_promotion,814.56,44682,1335,147
2021-01-12,tet_promotion,901.32,45340,1385,93
2021-01-13,tet_promotion,840.12,37993,1152,107
2021-01-14,tet_promotion,851.24,48450,1263,118
2021-01-15,tet_promotion,754.56,46258,1415,152
2021-01-16,tet_promotion,831.05,48145,1445,111
2021-01-17,tet_promotion,719.56,42751,1272,103
2021-01-18,tet_promotion,935.97,52954,1626,141
2021-01-19,tet_promotion,577.76,25852,882,108
2021-01-20,tet_promotion,1053.14,71918,2505,189
2021-01-21,tet_promotion,921.94,42948,759,67
2021-01-22,tet_promotion,917.12,52904,2102,199
2021-01-23,tet_promotion,821.46,38942,1220,80
2021-01-24,tet_promotion,721.92,46696,1542,136
2021-01-25,tet_promotion,676.67,46537,1027,71
2021-01-26,tet_promotion,904.91,44502,1246,113
2021-01-27,tet_promotion,877.43,50498,1398,132
2021-01-28,tet_promotion,604.88,29156,787,69
2021-01-29,tet_promotion,724.24,34764,1117,75
2021-01-30,tet_promotion,702.99,36374,1060,72
2021-01-31,tet_promotion,599.56,35964,778,68
2021-02-01,tet_promotion,661.2,32682,753,61
2021-02-02,tet_promotion,696.04,41590,1212,81
2021-02-03,tet_promotion,606.07,35852,1248,96
2021-02-04,tet_promotion,1004.16,55349,1688,152
2021-02-05,tet_promotion,620.0,33573,883,80
2021-02-06,tet_promotion,861.36,45588,1703,124
2021-02-07,tet_promotion,848.25,44819,1174,108
2021-02-08,tet_promotion,1009.65,72338,2347,212
2021-02-09,tet_promotion,1011.1,47957,1897,111
2021-02-10,tet_promotion,612.41,32000,962,93
2021-02-11,tet_promotion,624.61,32995,997,84
2021-02-12,tet_promotion,858.67,50675,1702,150
2021-02-13,tet_promotion,780.23,34670,791,69
2021-02-14,tet_promotion,580.13,28396,939,72
2021-02-15,tet_promotion,662.06,31968,1028,107
2021-02-16,tet_promotion,536.95,27989,1029,89
2021-02-17,tet_promotion,690.0,37089,1262,123
2021-02-18,tet_promotion,550.79,26729,891,79
2021-02-19,tet_promotion,807.22,45178,1644,147
2021-02-20,tet_promotion,1130.93,56123,1695,104
2021-02-21,tet_promotion,856.19,47064,1468,96
2021-02-22,tet_promotion,1046.66,58625,2117,134
2021-02-23,tet_promotion,819.79,46310,1880,172
2021-02-24,tet_promotion,922.22,41020,1268,106
2021-02-25,tet_promotion,759.92,39437,1199,122
2021-02-26,tet_promotion,714.44,41358,1466,114
