date,region,temp_mean,temp_max,rain_mm
2021-01-01,Miền Bắc,12.1,17.4,0.0
2021-01-02,Miền Bắc,12.5,18.5,0.0
2021-01-03,Miền Bắc,13.7,18.7,0.0
2021-01-04,Miền Bắc,15.8,21.4,0.0
2021-01-05,Miền Bắc,16.0,20.9,0.0
2021-01-06,Miền Bắc,17.3,19.9,0.0
2021-01-07,Miền Bắc,14.2,16.3,0.2
2021-01-08,Miền Bắc,9.6,11.9,0.3
2021-01-09,Miền Bắc,10.1,12.9,0.0
2021-01-10,Miền Bắc,11.1,13.5,0.0
2021-01-11,Miền Bắc,11.8,15.4,0.0
2021-01-12,Miền Bắc,12.5,17.5,0.0
2021-01-13,Miền Bắc,14.9,20.5,0.0
2021-01-14,Miền Bắc,15.4,21.5,0.0
2021-01-15,Miền Bắc,16.0,20.4,0.0
2021-01-16,Miền Bắc,18.1,21.0,0.5
2021-01-17,Miền Bắc,14.9,17.0,4.8
2021-01-18,Miền Bắc,14.2,19.4,0.0
2021-01-19,Miền Bắc,14.6,21.6,0.0
2021-01-20,Miền Bắc,16.2,21.4,0.0
2021-01-21,Miền Bắc,17.8,21.0,0.5
2021-01-22,Miền Bắc,18.8,23.1,0.0
2021-01-23,Miền Bắc,19.1,24.5,0.0
2021-01-24,Miền Bắc,19.4,25.3,0.0
2021-01-25,Miền Bắc,20.4,23.4,4.0
2021-01-26,Miền Bắc,20.1,25.2,0.5
2021-01-27,Miền Bắc,19.2,22.7,0.0
2021-01-28,Miền Bắc,17.7,18.8,0.7
2021-01-29,Miền Bắc,18.3,23.0,0.0
2021-01-30,Miền Bắc,18.0,21.5,0.4
2021-01-31,Miền Bắc,18.8,21.9,1.0
2021-02-01,Miền Bắc,20.3,25.1,0.0
2021-02-02,Miền Bắc,19.5,23.9,0.9
2021-02-03,Miền Bắc,20.2,25.5,0.0
2021-02-04,Miền Bắc,19.9,24.5,0.5
2021-02-05,Miền Bắc,20.0,25.0,0.1
2021-02-06,Miền Bắc,19.9,25.4,0.0
2021-02-07,Miền Bắc,21.2,26.1,0.0
2021-02-08,Miền Bắc,20.5,25.5,7.8
2021-02-09,Miền Bắc,16.5,18.0,33.7
2021-02-10,Miền Bắc,17.2,22.9,0.0
2021-02-11,Miền Bắc,18.1,23.4,0.0
2021-02-12,Miền Bắc,18.4,22.8,0.0
2021-02-13,Miền Bắc,18.9,24.2,0.0
2021-02-14,Miền Bắc,19.9,25.0,0.0
2021-02-15,Miền Bắc,20.4,25.0,0.4
2021-02-16,Miền Bắc,20.9,24.8,1.0
2021-02-17,Miền Bắc,19.5,21.9,0.4
2021-02-18,Miền Bắc,20.1,23.8,0.0
2021-02-19,Miền Bắc,20.3,24.5,0.0
2021-02-20,Miền Bắc,19.6,25.5,0.0
2021-02-21,Miền Bắc,20.6,27.4,0.0
2021-02-22,Miền Bắc,20.9,24.9,0.6
2021-02-23,Miền Bắc,21.7,26.0,0.2
2021-02-24,Miền Bắc,21.8,26.1,0.2
2021-02-25,Miền Bắc,22.9,28.6,0.8
2021-02-26,Miền Bắc,23.1,26.5,2.3
2021-02-27,Miền Bắc,17.7,19.1,6.8
2021-02-28,Miền Bắc,18.6,20.9,6.6
2021-03-01,Miền Bắc,22.0,25.5,8.2
2021-03-02,Miền Bắc,18.4,19.9,1.4
2021-03-03,Miền Bắc,17.7,19.6,10.0
2021-03-04,Miền Bắc,18.2,21.0,1.2
2021-03-05,Miền Bắc,21.0,24.6,0.6
2021-03-06,Miền Bắc,23.9,29.0,0.2
2021-03-07,Miền Bắc,20.8,22.1,4.3
2021-03-08,Miền Bắc,22.3,26.4,2.0
2021-03-09,Miền Bắc,22.9,27.0,0.4
2021-03-10,Miền Bắc,23.1,26.7,1.0
2021-03-11,Miền Bắc,23.1,26.0,1.3
2021-03-12,Miền Bắc,22.9,27.2,0.3
2021-03-13,Miền Bắc,22.4,25.6,1.2
2021-03-14,Miền Bắc,22.2,26.6,0.3
2021-03-15,Miền Bắc,23.2,26.2,0.9
2021-03-16,Miền Bắc,23.4,27.0,1.2
2021-03-17,Miền Bắc,23.8,27.1,1.0
2021-03-18,Miền Bắc,24.1,27.7,0.8
2021-03-19,Miền Bắc,24.8,27.9,0.7
2021-03-20,Miền Bắc,24.7,27.6,1.9
2021-03-21,Miền Bắc,18.8,23.4,8.8
2021-03-22,Miền Bắc,16.8,19.5,0.0
2021-03-23,Miền Bắc,17.5,21.8,0.0
2021-03-24,Miền Bắc,19.1,23.9,0.0
2021-03-25,Miền Bắc,21.0,24.2,1.5
2021-03-26,Miền Bắc,22.8,26.7,1.7
2021-03-27,Miền Bắc,24.2,27.4,1.2
2021-03-28,Miền Bắc,24.4,27.0,2.3
2021-03-29,Miền Bắc,26.0,31.4,0.0
2021-03-30,Miền Bắc,27.1,32.5,0.0
2021-03-31,Miền Bắc,27.7,33.5,0.0
2021-04-01,Miền Bắc,26.9,32.7,0.0
2021-04-02,Miền Bắc,26.6,31.2,0.6
2021-04-03,Miền Bắc,25.2,27.0,3.4
2021-04-04,Miền Bắc,24.3,28.6,5.9
2021-04-05,Miền Bắc,22.7,26.9,4.6
2021-04-06,Miền Bắc,23.3,26.0,1.1
2021-04-07,Miền Bắc,24.3,27.5,1.0
2021-04-08,Miền Bắc,24.3,27.8,13.1
2021-04-09,Miền Bắc,20.1,22.0,2.1
2021-04-10,Miền Bắc,20.8,23.8,2.4
2021-04-11,Miền Bắc,24.4,28.2,1.9
2021-04-12,Miền Bắc,25.1,28.8,0.8
2021-04-13,Miền Bắc,25.3,27.5,0.2
2021-04-14,Miền Bắc,25.5,28.5,0.3
2021-04-15,Miền Bắc,25.5,28.0,2.8
2021-04-16,Miền Bắc,25.8,28.1,3.8
2021-04-17,Miền Bắc,22.2,24.1,15.9
2021-04-18,Miền Bắc,22.6,25.5,3.6
2021-04-19,Miền Bắc,25.3,28.9,2.3
2021-04-20,Miền Bắc,26.8,30.1,1.5
2021-04-21,Miền Bắc,27.1,29.8,3.0
2021-04-22,Miền Bắc,27.3,30.9,2.2
2021-04-23,Miền Bắc,27.6,31.8,1.9
2021-04-24,Miền Bắc,28.1,32.4,1.1
2021-04-25,Miền Bắc,26.4,29.9,17.0
2021-04-26,Miền Bắc,23.0,24.5,41.1
2021-04-27,Miền Bắc,22.5,24.8,5.6
2021-04-28,Miền Bắc,22.9,25.5,14.1
2021-04-29,Miền Bắc,21.4,23.9,3.1
